"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000002703","YDR295C","S. cerevisiae","HDA2","Histone DeAcetylase"
"SGD:S000002704","YDR296W","S. cerevisiae","MHR1","Mitochondrial Homologous Recombination"
"SGD:S000002707","YDR299W","S. cerevisiae","BFR2","BreFeldin A Resistance"
"SGD:S000002709","YDR301W","S. cerevisiae","CFT1","Cleavage Factor Two"
"SGD:S000002711","YDR303C","S. cerevisiae","RSC3","Remodel the Structure of Chromatin"
"SGD:S000002716","YDR308C","S. cerevisiae","SRB7","Suppressor of RNA polymerase B"
"SGD:S000002719","YDR311W","S. cerevisiae","TFB1","Transcription Factor B"
"SGD:S000002726","YDR318W","S. cerevisiae","MCM21","MiniChromosome Maintenance"
"SGD:S000002728","YDR320C","S. cerevisiae","SWA2","Synthetic lethal With Arf1"
"SGD:S000002730","YDR322W","S. cerevisiae","MRPL35","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000002732","YDR324C","S. cerevisiae","UTP4","U Three Protein"
"SGD:S000002733","YDR325W","S. cerevisiae","YCG1","Yeast Cap G"
"SGD:S000002736","YDR328C","S. cerevisiae","SKP1","Suppressor of Kinetochore Protein mutant"
"SGD:S000002742","YDR334W","S. cerevisiae","SWR1","SWi2/snf2-Related"
"SGD:S000002745","YDR337W","S. cerevisiae","MRPS28","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000002755","YDR347W","S. cerevisiae","MRP1","Mitochondrial Ribosomal Protein"
"SGD:S000002757","YDR349C","S. cerevisiae","YPS7","YaPSin"
"SGD:S000002761","YDR353W","S. cerevisiae","TRR1","ThioRedoxin Reductase"
"SGD:S000002765","YDR357C","S. cerevisiae","CNL1","CNo-Like"
"SGD:S000002767","YDR359C","S. cerevisiae","EAF1","Esa1p-Associated Factor"
"SGD:S000002769","YDR361C","S. cerevisiae","BCP1",""
"SGD:S000002770","YDR362C","S. cerevisiae","TFC6","Transcription Factor C"
"SGD:S000002772","YDR364C","S. cerevisiae","CDC40","Cell Division Cycle"
"SGD:S000002773","YDR365C","S. cerevisiae","ESF1","Eighteen S rRNA Factor"
"SGD:S000002777","YDR369C","S. cerevisiae","XRS2","X-Ray Sensitive"
"SGD:S000002786","YDR378C","S. cerevisiae","LSM6","Like SM"
"SGD:S000002789","YDR381W","S. cerevisiae","YRA1","Yeast RNA Annealing protein"
"SGD:S000002790","YDR382W","S. cerevisiae","RPP2B","Ribosomal Protein P2 Beta"
"SGD:S000002791","YDR383C","S. cerevisiae","NKP1","Non-essential Kinetochore Protein"
"SGD:S000002793","YDR385W","S. cerevisiae","EFT2","Elongation Factor Two"
"SGD:S000002796","YDR388W","S. cerevisiae","RVS167","Reduced Viability on Starvation"
"SGD:S000002798","YDR390C","S. cerevisiae","UBA2","UBiquitin Activating"
"SGD:S000002800","YDR392W","S. cerevisiae","SPT3","SuPpressor of Ty's"
"SGD:S000002802","YDR394W","S. cerevisiae","RPT3","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000002806","YDR398W","S. cerevisiae","UTP5","U Three Protein"
"SGD:S000002812","YDR404C","S. cerevisiae","RPB7","RNA Polymerase B"
"SGD:S000002813","YDR405W","S. cerevisiae","MRP20","Mitochondrial Ribosomal Protein"
"SGD:S000002815","YDR407C","S. cerevisiae","TRS120","TRapp Subunit"
"SGD:S000002823","YDR415C","S. cerevisiae","",""
"SGD:S000002824","YDR416W","S. cerevisiae","SYF1","SYnthetic lethal with cdcForty"
"SGD:S000002826","YDR418W","S. cerevisiae","RPL12B","Ribosomal Protein of the Large subunit"
"SGD:S000002830","YDR422C","S. cerevisiae","SIP1","SNF1-Interacting Protein"
"SGD:S000002833","YDR425W","S. cerevisiae","SNX41","Sorting NeXin"
"SGD:S000002835","YDR427W","S. cerevisiae","RPN9","Regulatory Particle Non-ATPase"
"SGD:S000002837","YDR429C","S. cerevisiae","TIF35","Translation Initiation Factor"
"SGD:S000002840","YDR432W","S. cerevisiae","NPL3","Nuclear Protein Localization"
"SGD:S000002851","YDR443C","S. cerevisiae","SSN2","Suppressor of SNf1"
"SGD:S000002855","YDR447C","S. cerevisiae","RPS17B","Ribosomal Protein of the Small subunit"
"SGD:S000002856","YDR448W","S. cerevisiae","ADA2","transcriptional ADAptor"
"SGD:S000002857","YDR449C","S. cerevisiae","UTP6","U Three Protein"
"SGD:S000002858","YDR450W","S. cerevisiae","RPS18A","Ribosomal Protein of the Small subunit"
"SGD:S000002868","YDR460W","S. cerevisiae","TFB3","Transcription Factor B"
"SGD:S000002870","YDR462W","S. cerevisiae","MRPL28","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000002877","YDR469W","S. cerevisiae","SDC1","Set1c, homolog of Dpy30 from C.elegans"
"SGD:S000002879","YDR471W","S. cerevisiae","RPL27B","Ribosomal Protein of the Large subunit"
"SGD:S000002880","YDR472W","S. cerevisiae","TRS31","TRapp Subunit"
"SGD:S000002881","YDR473C","S. cerevisiae","PRP3","Pre-mRNA Processing"
"SGD:S000002885","YDR477W","S. cerevisiae","SNF1","Sucrose NonFermenting"
"SGD:S000002886","YDR478W","S. cerevisiae","SNM1","Suppressor of Nuclear Mitochondrial endoribonuclease"
"SGD:S000002892","YDR484W","S. cerevisiae","VPS52","Vacuolar Protein Sorting"
"SGD:S000002893","YDR485C","S. cerevisiae","VPS72","Vacuolar Protein Sorting"
"SGD:S000002897","YDR489W","S. cerevisiae","SLD5","Synthetic Lethality with Dpb11-1"
"SGD:S000002898","YDR490C","S. cerevisiae","PKH1","Pkb-activating Kinase Homolog"
"SGD:S000002904","YDR496C","S. cerevisiae","PUF6","PUmilio-homology domain Family"
"SGD:S000002906","YDR498C","S. cerevisiae","SEC20","SECretory"
"SGD:S000002910","YDR502C","S. cerevisiae","SAM2","S-AdenosylMethionine requiring"
"SGD:S000002915","YDR507C","S. cerevisiae","GIN4","Growth Inhibitory"
"SGD:S000002925","YDR517W","S. cerevisiae","GRH1","GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog"
"SGD:S000002957","YER007C-A","S. cerevisiae","TMA20","Translation Machinery Associated"
"SGD:S000002965","YFL017W-A","S. cerevisiae","SMX2",""
"SGD:S000002968","YFR024C-A","S. cerevisiae","LSB3","Las Seventeen Binding protein"
"SGD:S000002973","YGL005C","S. cerevisiae","COG7","Conserved Oligomeric Golgi complex"
"SGD:S000002979","YGL011C","S. cerevisiae","SCL1","Suppressor of Crl3 ts Lethality"
"SGD:S000002982","YGL014W","S. cerevisiae","PUF4","PUmilio-homology domain Family"
"SGD:S000002987","YGL019W","S. cerevisiae","CKB1","Casein Kinase Beta subunit"
"SGD:S000002990","YGL022W","S. cerevisiae","STT3","STaurosporine and Temperature sensitive"
"SGD:S000002993","YGL025C","S. cerevisiae","PGD1","PolyGlutamine Domain"
"SGD:S000002998","YGL030W","S. cerevisiae","RPL30","Ribosomal Protein of the Large subunit"
"SGD:S000002999","YGL031C","S. cerevisiae","RPL24A","Ribosomal Protein of the Large subunit"
"SGD:S000003011","YGL043W","S. cerevisiae","DST1","DNA Strand Transfer"
"SGD:S000003012","YGL044C","S. cerevisiae","RNA15","poly(A) mRNA metabolism"
"SGD:S000003016","YGL048C","S. cerevisiae","RPT6","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000003017","YGL049C","S. cerevisiae","TIF4632","Translation Initiation Factor"
"SGD:S000003026","YGL058W","S. cerevisiae","RAD6","RADiation sensitive"
"SGD:S000003029","YGL061C","S. cerevisiae","DUO1","Death Upon Overproduction"
"SGD:S000003034","YGL066W","S. cerevisiae","SGF73","SaGa associated Factor, 73 kDa"
"SGD:S000003038","YGL070C","S. cerevisiae","RPB9","RNA Polymerase B"
"SGD:S000003044","YGL076C","S. cerevisiae","RPL7A","Ribosomal Protein of the Large subunit"
"SGD:S000003054","YGL086W","S. cerevisiae","MAD1","Mitotic Arrest-Deficient"
"SGD:S000003055","YGL087C","S. cerevisiae","MMS2","Methyl MethaneSulfonate sensitivity"
"SGD:S000003060","YGL092W","S. cerevisiae","NUP145","NUclear Pore"
"SGD:S000003062","YGL094C","S. cerevisiae","PAN2","Poly(A)-binding protein-dependent poly(A) riboNuclease"
"SGD:S000003065","YGL097W","S. cerevisiae","SRM1","Suppressor of Receptor Mutations"
"SGD:S000003066","YGL098W","S. cerevisiae","USE1","Unconventional SNARE in the ER"
"SGD:S000003067","YGL099W","S. cerevisiae","LSG1","Large-Subunit Gtpase"
"SGD:S000003068","YGL100W","S. cerevisiae","SEH1","SEc13 Homolog"
"SGD:S000003071","YGL103W","S. cerevisiae","RPL28","Ribosomal Protein of the Large subunit"
"SGD:S000003073","YGL105W","S. cerevisiae","ARC1","Aminoacyl-tRNA synthetase Cofactor"
"SGD:S000003074","YGL106W","S. cerevisiae","MLC1","Myosin Light Chain"
"SGD:S000003079","YGL111W","S. cerevisiae","NSA1","Nop Seven Associated"
"SGD:S000003080","YGL112C","S. cerevisiae","TAF6","TATA binding protein-Associated Factor"
"SGD:S000003083","YGL115W","S. cerevisiae","SNF4","Sucrose NonFermenting"
"SGD:S000003088","YGL120C","S. cerevisiae","PRP43","Pre-mRNA Processing"
"SGD:S000003090","YGL122C","S. cerevisiae","NAB2","Nuclear polyAdenylated RNA-Binding"
"SGD:S000003091","YGL123W","S. cerevisiae","RPS2","Ribosomal Protein of the Small subunit"
"SGD:S000003093","YGL125W","S. cerevisiae","MET13","METhionine requiring"
"SGD:S000003095","YGL127C","S. cerevisiae","SOH1","Suppressor Of Hpr1"
"SGD:S000003096","YGL128C","S. cerevisiae","CWC23","Complexed With Cef1p"
"SGD:S000003097","YGL129C","S. cerevisiae","RSM23","Ribosomal Small subunit of Mitochondria"
"SGD:S000003098","YGL130W","S. cerevisiae","CEG1","Capping Enzyme Guanylyltransferase"
"SGD:S000003101","YGL133W","S. cerevisiae","ITC1","Imitation switch Two Complex"
"SGD:S000003103","YGL135W","S. cerevisiae","RPL1B","Ribosomal Protein of the Large subunit"
"SGD:S000003105","YGL137W","S. cerevisiae","SEC27","SECretory"
"SGD:S000003113","YGL145W","S. cerevisiae","TIP20","SEC20 (Twenty) Interacting Protein"
"SGD:S000003115","YGL147C","S. cerevisiae","RPL9A","Ribosomal Protein of the Large subunit"
"SGD:S000003118","YGL150C","S. cerevisiae","INO80","INOsitol requiring"
"SGD:S000003119","YGL151W","S. cerevisiae","NUT1","Negative regulation of URS Two"
"SGD:S000003121","YGL153W","S. cerevisiae","PEX14","PEroXisome related"
"SGD:S000003123","YGL155W","S. cerevisiae","CDC43","Cell Division Cycle"
"SGD:S000003139","YGL171W","S. cerevisiae","ROK1","Rescuer Of Kem1"
"SGD:S000003140","YGL172W","S. cerevisiae","NUP49","NUclear Pore"
"SGD:S000003141","YGL173C","S. cerevisiae","XRN1","eXoRiboNuclease"
"SGD:S000003157","YGL189C","S. cerevisiae","RPS26A","Ribosomal Protein of the Small subunit"
"SGD:S000003158","YGL190C","S. cerevisiae","CDC55","Cell Division Cycle"
"SGD:S000003162","YGL194C","S. cerevisiae","HOS2","Hda One Similar"
"SGD:S000003163","YGL195W","S. cerevisiae","GCN1","General Control Nonderepressible"
"SGD:S000003165","YGL197W","S. cerevisiae","MDS3","Mck1 Dosage Suppressor"
"SGD:S000003168","YGL200C","S. cerevisiae","EMP24","EndoMembrane Protein"
"SGD:S000003174","YGL206C","S. cerevisiae","CHC1","Clathrin Heavy Chain"
"SGD:S000003175","YGL207W","S. cerevisiae","SPT16","SuPpressor of Ty"
"SGD:S000003176","YGL208W","S. cerevisiae","SIP2","SNF1-Interacting Protein"
"SGD:S000003181","YGL213C","S. cerevisiae","SKI8","SuperKIller"
"SGD:S000003191","YGL223C","S. cerevisiae","COG1","Conserved Oligomeric Golgi complex"
"SGD:S000003196","YGL227W","S. cerevisiae","VID30","Vacuolar Import and Degradation"
"SGD:S000003202","YGL233W","S. cerevisiae","SEC15","SECretory"
"SGD:S000003206","YGL237C","S. cerevisiae","HAP2","Heme Activator Protein"
"SGD:S000003209","YGL240W","S. cerevisiae","DOC1","Destruction Of Cyclin B"
"SGD:S000003210","YGL241W","S. cerevisiae","KAP114","KAryoPherin"
"SGD:S000003211","YGL242C","S. cerevisiae","ANK1","Ankyrin repeat protein 1"
"SGD:S000003213","YGL244W","S. cerevisiae","RTF1","Restores TBP Function"
"SGD:S000003214","YGL245W","S. cerevisiae","GUS1","GlUtamyl-tRNA Synthetase"
"SGD:S000003215","YGL246C","S. cerevisiae","RAI1","Rat1p Interacting Protein"
"SGD:S000003221","YGL252C","S. cerevisiae","RTG2","ReTroGrade regulation"
"SGD:S000003234","YGR002C","S. cerevisiae","SWC4","SWr Complex"
"SGD:S000003237","YGR005C","S. cerevisiae","TFG2","Transcription Factor G"
"SGD:S000003242","YGR010W","S. cerevisiae","NMA2","Nicotinamide Mononucleotide Adenylyltransferase"
"SGD:S000003245","YGR013W","S. cerevisiae","SNU71","Small NUclear ribonucleoprotein associated"
"SGD:S000003249","YGR017W","S. cerevisiae","",""
"SGD:S000003252","YGR020C","S. cerevisiae","VMA7","Vacuolar Membrane Atpase"
"SGD:S000003259","YGR027C","S. cerevisiae","RPS25A","Ribosomal Protein of the Small subunit"
"SGD:S000003262","YGR030C","S. cerevisiae","POP6","Processing Of Precursor RNAs"
"SGD:S000003266","YGR034W","S. cerevisiae","RPL26B","Ribosomal Protein of the Large subunit"
"SGD:S000003279","YGR047C","S. cerevisiae","TFC4","Transcription Factor class C"
"SGD:S000003280","YGR048W","S. cerevisiae","UFD1","Ubiquitin Fusion Degradation protein"
"SGD:S000003286","YGR054W","S. cerevisiae","",""
"SGD:S000003288","YGR056W","S. cerevisiae","RSC1","Remodel the Structure of Chromatin"
"SGD:S000003295","YGR063C","S. cerevisiae","SPT4","SuPpressor of Ty's"
"SGD:S000003303","YGR071C","S. cerevisiae","ENV11","late ENdosome and Vacuole interface function"
"SGD:S000003306","YGR074W","S. cerevisiae","SMD1","snRNA Sm binding site protein D1"
"SGD:S000003307","YGR075C","S. cerevisiae","PRP38","Pre-mRNA Processing"
"SGD:S000003308","YGR076C","S. cerevisiae","MRPL25","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000003310","YGR078C","S. cerevisiae","PAC10","Perish in the Absence of Cin8p"
"SGD:S000003313","YGR081C","S. cerevisiae","SLX9",""
"SGD:S000003315","YGR083C","S. cerevisiae","GCD2","General Control Derepressed"
"SGD:S000003316","YGR084C","S. cerevisiae","MRP13","Mitochondrial Ribosomal Protein"
"SGD:S000003317","YGR085C","S. cerevisiae","RPL11B","Ribosomal Protein of the Large subunit"
"SGD:S000003318","YGR086C","S. cerevisiae","PIL1","Phosphorylation Inhibited by Long chain bases"
"SGD:S000003322","YGR090W","S. cerevisiae","UTP22","U Three Protein"
"SGD:S000003323","YGR091W","S. cerevisiae","PRP31","Pre-mRNA Processing"
"SGD:S000003327","YGR095C","S. cerevisiae","RRP46","Ribosomal RNA Processing"
"SGD:S000003335","YGR103W","S. cerevisiae","NOP7","NucleOlar Protein"
"SGD:S000003336","YGR104C","S. cerevisiae","SRB5","Suppressor of RNA polymerase B"
"SGD:S000003345","YGR113W","S. cerevisiae","DAM1","Duo1 And Mps1 interacting"
"SGD:S000003348","YGR116W","S. cerevisiae","SPT6","SuPpressor of Ty's"
"SGD:S000003350","YGR118W","S. cerevisiae","RPS23A","Ribosomal Protein of the Small subunit"
"SGD:S000003351","YGR119C","S. cerevisiae","NUP57","NUclear Pore"
"SGD:S000003352","YGR120C","S. cerevisiae","COG2","Conserved Oligomeric Golgi complex"
"SGD:S000003356","YGR124W","S. cerevisiae","ASN2","ASparagiNe requiring"
"SGD:S000003360","YGR128C","S. cerevisiae","UTP8","U Three Protein"
"SGD:S000003362","YGR130C","S. cerevisiae","",""
"SGD:S000003364","YGR132C","S. cerevisiae","PHB1","ProHiBitin"
"SGD:S000003366","YGR134W","S. cerevisiae","CAF130","CCR4 Associated Factor"
"SGD:S000003367","YGR135W","S. cerevisiae","PRE9","PRoteinase yscE"
"SGD:S000003377","YGR145W","S. cerevisiae","ENP2","Essential Nuclear Protein"
"SGD:S000003388","YGR156W","S. cerevisiae","PTI1","PTa1p Interacting protein"
"SGD:S000003390","YGR158C","S. cerevisiae","MTR3","MRNA TRansport"
"SGD:S000003391","YGR159C","S. cerevisiae","NSR1",""
"SGD:S000003393","YGR161C","S. cerevisiae","RTS3",""
"SGD:S000003394","YGR162W","S. cerevisiae","TIF4631","Translation Initiation Factor"
"SGD:S000003397","YGR165W","S. cerevisiae","MRPS35","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000003398","YGR166W","S. cerevisiae","TRS65","TRapp Subunit"
"SGD:S000003399","YGR167W","S. cerevisiae","CLC1","Clathrin Light Chain"
"SGD:S000003405","YGR173W","S. cerevisiae","RBG2","RiBosome interacting Gtpase"
"SGD:S000003407","YGR175C","S. cerevisiae","ERG1","ERGosterol biosynthesis"
"SGD:S000003410","YGR178C","S. cerevisiae","PBP1","Pab1p-Binding Protein"
"SGD:S000003411","YGR179C","S. cerevisiae","OKP1","Outer Kinetochore Protein"
"SGD:S000003412","YGR180C","S. cerevisiae","RNR4","RiboNucleotide Reductase"
"SGD:S000003418","YGR186W","S. cerevisiae","TFG1","Transcription Factor G"
"SGD:S000003424","YGR192C","S. cerevisiae","TDH3","Triose-phosphate DeHydrogenase"
"SGD:S000003425","YGR193C","S. cerevisiae","PDX1","Pyruvate Dehydrogenase complex protein X"
"SGD:S000003427","YGR195W","S. cerevisiae","SKI6","SuperKIller"
"SGD:S000003428","YGR196C","S. cerevisiae","FYV8","Function required for Yeast Viability"
"SGD:S000003432","YGR200C","S. cerevisiae","ELP2","ELongator Protein"
"SGD:S000003438","YGR206W","S. cerevisiae","MVB12","MultiVesicular Body sorting factor of 12 kilodaltons"
"SGD:S000003446","YGR214W","S. cerevisiae","RPS0A","Ribosomal Protein of the Small subunit"
"SGD:S000003447","YGR215W","S. cerevisiae","RSM27","Ribosomal Small subunit of Mitochondria"
"SGD:S000003450","YGR218W","S. cerevisiae","CRM1","Chromosome Region Maintenance"
"SGD:S000003452","YGR220C","S. cerevisiae","MRPL9","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000003463","YGR231C","S. cerevisiae","PHB2","ProHiBitin"
"SGD:S000003464","YGR232W","S. cerevisiae","NAS6","Non-ATPase Subunit"
"SGD:S000003465","YGR233C","S. cerevisiae","PHO81","PHOsphate metabolism"
"SGD:S000003466","YGR234W","S. cerevisiae","YHB1","Yeast flavoHemogloBin"
"SGD:S000003470","YGR238C","S. cerevisiae","KEL2","KELch repeat"
"SGD:S000003472","YGR240C","S. cerevisiae","PFK1","PhosphoFructoKinase"
"SGD:S000003476","YGR244C","S. cerevisiae","LSC2","Ligase of Succinyl-CoA"
"SGD:S000003477","YGR245C","S. cerevisiae","SDA1","Severe Depolymerization of Actin"
"SGD:S000003482","YGR250C","S. cerevisiae","RIE1","Restoration of Impaired growths of ERMES-lacking cells"
"SGD:S000003484","YGR252W","S. cerevisiae","GCN5","General Control Nonderepressible"
"SGD:S000003485","YGR253C","S. cerevisiae","PUP2","PUtative Proteasome subunit"
"SGD:S000003486","YGR254W","S. cerevisiae","ENO1","ENOlase"
"SGD:S000003493","YGR261C","S. cerevisiae","APL6","clathrin Adaptor Protein complex Large chain"
"SGD:S000003494","YGR262C","S. cerevisiae","BUD32","BUD site selection"
"SGD:S000003496","YGR264C","S. cerevisiae","MES1","MEthionyl-tRNA Synthetase"
"SGD:S000003506","YGR274C","S. cerevisiae","TAF1","TATA binding protein-Associated Factor"
"SGD:S000003507","YGR275W","S. cerevisiae","RTT102","Regulator of Ty1 Transposition"
"SGD:S000003510","YGR278W","S. cerevisiae","CWC22","Complexed With Cef1p"
"SGD:S000003515","YGR283C","S. cerevisiae","UPA1","Urb2-particle associated methyltransferase "
"SGD:S000003517","YGR285C","S. cerevisiae","ZUO1","ZUOtin"
"SGD:S000003538","YJL001W","S. cerevisiae","PRE3","PRoteinase yscE"
"SGD:S000003539","YJL002C","S. cerevisiae","OST1","OligoSaccharylTransferase"
"SGD:S000003542","YJL005W","S. cerevisiae","CYR1","CYclic AMP Requirement"
"SGD:S000003543","YJL006C","S. cerevisiae","CTK2","Carboxy-Terminal domain Kinase"
"SGD:S000003548","YJL011C","S. cerevisiae","RPC17","RNA Polymerase C"
"SGD:S000003561","YJL024C","S. cerevisiae","APS3","clathrin Associated Protein complex Small subunit"
"SGD:S000003563","YJL026W","S. cerevisiae","RNR2","RiboNucleotide Reductase"
"SGD:S000003566","YJL029C","S. cerevisiae","VPS53","Vacuolar Protein Sorting"
"SGD:S000003567","YJL030W","S. cerevisiae","MAD2","Mitotic Arrest-Deficient"
"SGD:S000003568","YJL031C","S. cerevisiae","BET4","Blocked Early in Transport"
"SGD:S000003570","YJL033W","S. cerevisiae","HCA4","Helicase CA"
"SGD:S000003571","YJL034W","S. cerevisiae","KAR2","KARyogamy"
"SGD:S000003573","YJL036W","S. cerevisiae","SNX4","Sorting NeXin"
"SGD:S000003577","YJL041W","S. cerevisiae","NSP1","NucleoSkeletal-like Protein"
"SGD:S000003583","YJL047C","S. cerevisiae","RTT101","Regulator of Ty1 Transposition"
"SGD:S000003586","YJL050W","S. cerevisiae","MTR4","Mrna TRansport"
"SGD:S000003588","YJL052W","S. cerevisiae","TDH1","Triose-phosphate DeHydrogenase"
"SGD:S000003589","YJL053W","S. cerevisiae","PEP8","carboxyPEPtidase Y-deficient"
"SGD:S000003597","YJL061W","S. cerevisiae","NUP82","NUclear Pore"
"SGD:S000003599","YJL063C","S. cerevisiae","MRPL8","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000003601","YJL065C","S. cerevisiae","DLS1","Dpb3-Like Subunit of ISW2/yCHRAC complex"
"SGD:S000003602","YJL066C","S. cerevisiae","MPM1","Mitochondrial Peculiar Membrane protein"
"SGD:S000003605","YJL069C","S. cerevisiae","UTP18","U Three Protein"
"SGD:S000003606","YJL070C","S. cerevisiae","",""
"SGD:S000003608","YJL072C","S. cerevisiae","PSF2","Partner of Sld Five"
"SGD:S000003610","YJL074C","S. cerevisiae","SMC3","Stability of MiniChromosomes"
"SGD:S000003612","YJL076W","S. cerevisiae","NET1","Nucleolar silencing Establishing factor and Telophase regulator"
"SGD:S000003616","YJL080C","S. cerevisiae","SCP160","S. cerevisiae protein involved in the Control of Ploidy"
"SGD:S000003617","YJL081C","S. cerevisiae","ARP4","Actin-Related Protein"
"SGD:S000003620","YJL084C","S. cerevisiae","ALY2","Arrestin-Like Yeast protein"
"SGD:S000003621","YJL085W","S. cerevisiae","EXO70","EXOcyst"
"SGD:S000003634","YJL098W","S. cerevisiae","SAP185","Sit4 Associated Protein"
"SGD:S000003635","YJL099W","S. cerevisiae","CHS6","CHitin Synthase-related"
"SGD:S000003645","YJL109C","S. cerevisiae","UTP10","U Three Protein"
"SGD:S000003647","YJL111W","S. cerevisiae","CCT7","Chaperonin Containing TCP-1"
"SGD:S000003651","YJL115W","S. cerevisiae","ASF1","Anti-Silencing Function"
"SGD:S000003660","YJL124C","S. cerevisiae","LSM1","Like SM"
"SGD:S000003661","YJL125C","S. cerevisiae","GCD14","General Control Nonderepressible"
"SGD:S000003674","YJL138C","S. cerevisiae","TIF2","Translation Initiation Factor"
"SGD:S000003676","YJL140W","S. cerevisiae","RPB4","RNA Polymerase B"
"SGD:S000003682","YJL146W","S. cerevisiae","IDS2","IME2-Dependent Signaling"
"SGD:S000003684","YJL148W","S. cerevisiae","RPA34","RNA Polymerase A"
"SGD:S000003690","YJL154C","S. cerevisiae","VPS35","Vacuolar Protein Sorting"
"SGD:S000003691","YJL155C","S. cerevisiae","FBP26","Fructose BisPhosphatase"
"SGD:S000003700","YJL164C","S. cerevisiae","TPK1","Takashi's Protein Kinase"
"SGD:S000003709","YJL173C","S. cerevisiae","RFA3","Replication Factor A"
"SGD:S000003712","YJL176C","S. cerevisiae","SWI3","SWItching deficient"
"SGD:S000003713","YJL177W","S. cerevisiae","RPL17B","Ribosomal Protein of the Large subunit"
"SGD:S000003715","YJL179W","S. cerevisiae","PFD1","PreFolDin"
"SGD:S000003716","YJL180C","S. cerevisiae","ATP12","ATP synthase"
"SGD:S000003719","YJL183W","S. cerevisiae","MNN11","MaNNosyltransferase"
"SGD:S000003720","YJL184W","S. cerevisiae","GON7",""
"SGD:S000003726","YJL190C","S. cerevisiae","RPS22A","Ribosomal Protein of the Small subunit"
"SGD:S000003727","YJL191W","S. cerevisiae","RPS14B","Ribosomal Protein of the Small subunit"
"SGD:S000003739","YJL203W","S. cerevisiae","PRP21","Pre-mRNA Processing"
"SGD:S000003744","YJL208C","S. cerevisiae","NUC1","NUClease"
"SGD:S000003762","YJR002W","S. cerevisiae","MPP10","M Phase Phosphoproteins"
"SGD:S000003765","YJR005W","S. cerevisiae","APL1","clathrin Adaptor Protein complex Large chain"
"SGD:S000003766","YJR006W","S. cerevisiae","POL31","POLymerase"
"SGD:S000003767","YJR007W","S. cerevisiae","SUI2","SUppressor of Initiator codon"
"SGD:S000003769","YJR009C","S. cerevisiae","TDH2","Triose-phosphate DeHydrogenase"
"SGD:S000003772","YJR011C","S. cerevisiae","CAL4","Caf130-Associated regulator of RpL4"
"SGD:S000003775","YJR014W","S. cerevisiae","TMA22","Translation Machinery Associated"
"SGD:S000003783","YJR022W","S. cerevisiae","LSM8","Like SM"
"SGD:S000003794","YJR033C","S. cerevisiae","RAV1","Regulator of (H+)-ATPase in Vacuolar membrane"
"SGD:S000003802","YJR041C","S. cerevisiae","URB2","Unhealthy Ribosome Biogenesis"
"SGD:S000003803","YJR042W","S. cerevisiae","NUP85","NUclear Pore"
"SGD:S000003804","YJR043C","S. cerevisiae","POL32","POLymerase"
"SGD:S000003806","YJR045C","S. cerevisiae","SSC1","Stress-Seventy subfamily C"
"SGD:S000003811","YJR050W","S. cerevisiae","ISY1","Interactor of SYf1p"
"SGD:S000003813","YJR052W","S. cerevisiae","RAD7","RADiation sensitive"
"SGD:S000003824","YJR063W","S. cerevisiae","RPA12","RNA Polymerase A"
"SGD:S000003826","YJR065C","S. cerevisiae","ARP3","Actin-Related Protein"
"SGD:S000003828","YJR067C","S. cerevisiae","YAE1",""
"SGD:S000003829","YJR068W","S. cerevisiae","RFC2","Replication Factor C"
"SGD:S000003835","YJR074W","S. cerevisiae","MOG1","Multicopy suppressor Of ts Gsp1"
"SGD:S000003836","YJR075W","S. cerevisiae","HOC1","Homologous to OCh1"
"SGD:S000003837","YJR076C","S. cerevisiae","CDC11","Cell Division Cycle"
"SGD:S000003838","YJR077C","S. cerevisiae","MIR1","Mitochondrial Import Receptor"
"SGD:S000003842","YJR082C","S. cerevisiae","EAF6","Esa1p-Associated Factor"
"SGD:S000003844","YJR084W","S. cerevisiae","",""
"SGD:S000003852","YJR092W","S. cerevisiae","BUD4","BUD site selection"
"SGD:S000003853","YJR093C","S. cerevisiae","FIP1","Factor Interacting with Poly(A) polymerase"
"SGD:S000003855","YJR094W-A","S. cerevisiae","RPL43B","Ribosomal Protein of the Large subunit"
"SGD:S000003862","YJR101W","S. cerevisiae","RSM26","Ribosomal Small subunit of Mitochondria"
"SGD:S000003865","YJR104C","S. cerevisiae","SOD1","SuperOxide Dismutase"
"SGD:S000003870","YJR109C","S. cerevisiae","CPA2","Carbamyl Phosphate synthetase A"
"SGD:S000003873","YJR112W","S. cerevisiae","NNF1","Necessary for Nuclear Function"
"SGD:S000003874","YJR113C","S. cerevisiae","RSM7","Ribosomal Small subunit of Mitochondria"
"SGD:S000003882","YJR121W","S. cerevisiae","ATP2","ATP synthase"
