"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000003635","YJL099W","S. cerevisiae","CHS6","CHitin Synthase-related"
"SGD:S000003637","YJL101C","S. cerevisiae","GSH1","glutathione (GSH)"
"SGD:S000003638","YJL102W","S. cerevisiae","MEF2","Mitochondrial Elongation Factor"
"SGD:S000003641","YJL105W","S. cerevisiae","SET4","SET domain-containing"
"SGD:S000003643","YJL107C","S. cerevisiae","",""
"SGD:S000003644","YJL108C","S. cerevisiae","PRM10","Pheromone-Regulated Membrane protein"
"SGD:S000003645","YJL109C","S. cerevisiae","UTP10","U Three Protein"
"SGD:S000003646","YJL110C","S. cerevisiae","GZF3","Gata Zinc Finger protein"
"SGD:S000003647","YJL111W","S. cerevisiae","CCT7","Chaperonin Containing TCP-1"
"SGD:S000003648","YJL112W","S. cerevisiae","MDV1","Mitochondrial DiVision"
"SGD:S000003651","YJL115W","S. cerevisiae","ASF1","Anti-Silencing Function"
"SGD:S000003653","YJL117W","S. cerevisiae","PHO86","PHOsphate metabolism"
"SGD:S000003654","YJL118W","S. cerevisiae","",""
"SGD:S000003658","YJL122W","S. cerevisiae","ALB1","Arx1 Little Brother"
"SGD:S000003659","YJL123C","S. cerevisiae","MTC1","Maintenance of Telomere Capping"
"SGD:S000003660","YJL124C","S. cerevisiae","LSM1","Like SM"
"SGD:S000003661","YJL125C","S. cerevisiae","GCD14","General Control Nonderepressible"
"SGD:S000003664","YJL128C","S. cerevisiae","PBS2","Polymyxin B Sensitivity"
"SGD:S000003665","YJL129C","S. cerevisiae","TRK1","TRansport of potassium (K)"
"SGD:S000003666","YJL130C","S. cerevisiae","URA2","URAcil requiring"
"SGD:S000003667","YJL131C","S. cerevisiae","AIM23","Altered Inheritance rate of Mitochondria"
"SGD:S000003668","YJL132W","S. cerevisiae","",""
"SGD:S000003673","YJL137C","S. cerevisiae","GLG2","Glycogenin-Like Gene"
"SGD:S000003674","YJL138C","S. cerevisiae","TIF2","Translation Initiation Factor"
"SGD:S000003676","YJL140W","S. cerevisiae","RPB4","RNA Polymerase B"
"SGD:S000003677","YJL141C","S. cerevisiae","YAK1","Yet Another Kinase"
"SGD:S000003680","YJL144W","S. cerevisiae","ROQ1","Regulator Of Quality control"
"SGD:S000003681","YJL145W","S. cerevisiae","SFH5","Sec Fourteen Homolog"
"SGD:S000003682","YJL146W","S. cerevisiae","IDS2","IME2-Dependent Signaling"
"SGD:S000003683","YJL147C","S. cerevisiae","SMT1","Suppression of Mitochondrial Translation"
"SGD:S000003684","YJL148W","S. cerevisiae","RPA34","RNA Polymerase A"
"SGD:S000003690","YJL154C","S. cerevisiae","VPS35","Vacuolar Protein Sorting"
"SGD:S000003691","YJL155C","S. cerevisiae","FBP26","Fructose BisPhosphatase"
"SGD:S000003693","YJL157C","S. cerevisiae","FAR1","Factor ARrest"
"SGD:S000003695","YJL159W","S. cerevisiae","HSP150","Heat Shock Protein"
"SGD:S000003698","YJL162C","S. cerevisiae","JJJ2","J-protein (Type III)"
"SGD:S000003699","YJL163C","S. cerevisiae","",""
"SGD:S000003700","YJL164C","S. cerevisiae","TPK1","Takashi's Protein Kinase"
"SGD:S000003701","YJL165C","S. cerevisiae","HAL5","HALotolerance"
"SGD:S000003704","YJL168C","S. cerevisiae","SET2","SET domain-containing"
"SGD:S000003705","YJL169W","S. cerevisiae","",""
"SGD:S000003707","YJL171C","S. cerevisiae","TOH1","TOS One Homolog"
"SGD:S000003709","YJL173C","S. cerevisiae","RFA3","Replication Factor A"
"SGD:S000003712","YJL176C","S. cerevisiae","SWI3","SWItching deficient"
"SGD:S000003715","YJL179W","S. cerevisiae","PFD1","PreFolDin"
"SGD:S000003716","YJL180C","S. cerevisiae","ATP12","ATP synthase"
"SGD:S000003720","YJL184W","S. cerevisiae","GON7",""
"SGD:S000003723","YJL187C","S. cerevisiae","SWE1","Saccharomyces WEe1"
"SGD:S000003724","YJL188C","S. cerevisiae","BUD19","BUD site selection"
"SGD:S000003728","YJL192C","S. cerevisiae","SOP4","Suppressor Of Pma1-7"
"SGD:S000003730","YJL194W","S. cerevisiae","CDC6","Cell Division Cycle"
"SGD:S000003731","YJL195C","S. cerevisiae","",""
"SGD:S000003733","YJL197W","S. cerevisiae","UBP12","UBiquitin-specific Protease"
"SGD:S000003735","YJL199C","S. cerevisiae","MBB1",""
"SGD:S000003736","YJL200C","S. cerevisiae","ACO2","ACOnitase"
"SGD:S000003737","YJL201W","S. cerevisiae","ECM25","ExtraCellular Mutant"
"SGD:S000003738","YJL202C","S. cerevisiae","",""
"SGD:S000003739","YJL203W","S. cerevisiae","PRP21","Pre-mRNA Processing"
"SGD:S000003740","YJL204C","S. cerevisiae","RCY1","ReCYcling"
"SGD:S000003741","YJL206C","S. cerevisiae","",""
"SGD:S000003743","YJL207C","S. cerevisiae","LAA1","Large AP-1 Accessory"
"SGD:S000003745","YJL209W","S. cerevisiae","CBP1","Cytochrome B mRNA Processing"
"SGD:S000003750","YJL214W","S. cerevisiae","HXT8","HeXose Transporter"
"SGD:S000003753","YJL217W","S. cerevisiae","REE1","REgulation of Enolase"
"SGD:S000003755","YJL219W","S. cerevisiae","HXT9","HeXose Transporter"
"SGD:S000003761","YJR001W","S. cerevisiae","AVT1","Amino acid Vacuolar Transport"
"SGD:S000003762","YJR002W","S. cerevisiae","MPP10","M Phase Phosphoproteins"
"SGD:S000003764","YJR004C","S. cerevisiae","SAG1","Sexual AGglutination"
"SGD:S000003765","YJR005W","S. cerevisiae","APL1","clathrin Adaptor Protein complex Large chain"
"SGD:S000003766","YJR006W","S. cerevisiae","POL31","POLymerase"
"SGD:S000003767","YJR007W","S. cerevisiae","SUI2","SUppressor of Initiator codon"
"SGD:S000003768","YJR008W","S. cerevisiae","MHO1","Memo HOmolog"
"SGD:S000003769","YJR009C","S. cerevisiae","TDH2","Triose-phosphate DeHydrogenase"
"SGD:S000003770","YJR010C-A","S. cerevisiae","SPC1","Signal Peptidase Complex"
"SGD:S000003771","YJR010W","S. cerevisiae","MET3","METhionine requiring"
"SGD:S000003772","YJR011C","S. cerevisiae","CAL4","Caf130-Associated regulator of RpL4"
"SGD:S000003773","YJR012C","S. cerevisiae","PEX39","PEroXin"
"SGD:S000003775","YJR014W","S. cerevisiae","TMA22","Translation Machinery Associated"
"SGD:S000003776","YJR015W","S. cerevisiae","",""
"SGD:S000003778","YJR017C","S. cerevisiae","ESS1","ESSential"
"SGD:S000003783","YJR022W","S. cerevisiae","LSM8","Like SM"
"SGD:S000003786","YJR025C","S. cerevisiae","BNA1","Biosynthesis of Nicotinic Acid"
"SGD:S000003792","YJR031C","S. cerevisiae","GEA1","Guanine nucleotide Exchange on ARF"
"SGD:S000003793","YJR032W","S. cerevisiae","CPR7","Cyclosporin-sensitive Proline Rotamase"
"SGD:S000003794","YJR033C","S. cerevisiae","RAV1","Regulator of (H+)-ATPase in Vacuolar membrane"
"SGD:S000003796","YJR035W","S. cerevisiae","RAD26","RADiation sensitive"
"SGD:S000003797","YJR036C","S. cerevisiae","HUL4","Hect Ubiquitin Ligase"
"SGD:S000003801","YJR040W","S. cerevisiae","GEF1","Glycerol Ethanol, Ferric requiring"
"SGD:S000003802","YJR041C","S. cerevisiae","URB2","Unhealthy Ribosome Biogenesis"
"SGD:S000003803","YJR042W","S. cerevisiae","NUP85","NUclear Pore"
"SGD:S000003804","YJR043C","S. cerevisiae","POL32","POLymerase"
"SGD:S000003806","YJR045C","S. cerevisiae","SSC1","Stress-Seventy subfamily C"
"SGD:S000003807","YJR046W","S. cerevisiae","TAH11","Topo-A Hypersensitive"
"SGD:S000003808","YJR047C","S. cerevisiae","ANB1","ANaeroBically induced"
"SGD:S000003811","YJR050W","S. cerevisiae","ISY1","Interactor of SYf1p"
"SGD:S000003812","YJR051W","S. cerevisiae","OSM1","OSMotic sensitivity"
"SGD:S000003813","YJR052W","S. cerevisiae","RAD7","RADiation sensitive"
"SGD:S000003814","YJR053W","S. cerevisiae","BFA1","Byr-Four-Alike"
"SGD:S000003817","YJR056C","S. cerevisiae","",""
"SGD:S000003819","YJR058C","S. cerevisiae","APS2","clathrin Associated Protein complex Small subunit"
"SGD:S000003820","YJR059W","S. cerevisiae","PTK2","Putative serine/Threonine protein Kinase"
"SGD:S000003821","YJR060W","S. cerevisiae","CBF1","Centromere Binding Factor"
"SGD:S000003823","YJR062C","S. cerevisiae","NTA1","N-Terminal Amidase"
"SGD:S000003824","YJR063W","S. cerevisiae","RPA12","RNA Polymerase A"
"SGD:S000003825","YJR064W","S. cerevisiae","CCT5","Chaperonin Containing TCP-1"
"SGD:S000003826","YJR065C","S. cerevisiae","ARP3","Actin-Related Protein"
"SGD:S000003827","YJR066W","S. cerevisiae","TOR1","Target Of Rapamycin"
"SGD:S000003828","YJR067C","S. cerevisiae","YAE1",""
"SGD:S000003829","YJR068W","S. cerevisiae","RFC2","Replication Factor C"
"SGD:S000003830","YJR069C","S. cerevisiae","HAM1","6-n-HydroxylAMinopurine sensitive"
"SGD:S000003831","YJR070C","S. cerevisiae","LIA1","Ligand of eIF5A"
"SGD:S000003833","YJR072C","S. cerevisiae","NPA3","Nucleolar Preribosomal Associated"
"SGD:S000003837","YJR076C","S. cerevisiae","CDC11","Cell Division Cycle"
"SGD:S000003841","YJR080C","S. cerevisiae","AIM24","Altered Inheritance rate of Mitochondria"
"SGD:S000003842","YJR082C","S. cerevisiae","EAF6","Esa1p-Associated Factor"
"SGD:S000003843","YJR083C","S. cerevisiae","ACF4","Assembly Complementing Factor"
"SGD:S000003844","YJR084W","S. cerevisiae","",""
"SGD:S000003849","YJR089W","S. cerevisiae","BIR1","Baculoviral IAP Repeat-containing protein"
"SGD:S000003850","YJR090C","S. cerevisiae","GRR1","Glucose Repression-Resistant"
"SGD:S000003851","YJR091C","S. cerevisiae","JSN1","Just Say No"
"SGD:S000003852","YJR092W","S. cerevisiae","BUD4","BUD site selection"
"SGD:S000003853","YJR093C","S. cerevisiae","FIP1","Factor Interacting with Poly(A) polymerase"
"SGD:S000003855","YJR094W-A","S. cerevisiae","RPL43B","Ribosomal Protein of the Large subunit"
"SGD:S000003857","YJR096W","S. cerevisiae","",""
"SGD:S000003858","YJR097W","S. cerevisiae","JJJ3","J-protein (Type III)"
"SGD:S000003859","YJR098C","S. cerevisiae","",""
"SGD:S000003860","YJR099W","S. cerevisiae","YUH1","Yeast Ubiquitin Hydrolase"
"SGD:S000003862","YJR101W","S. cerevisiae","RSM26","Ribosomal Small subunit of Mitochondria"
"SGD:S000003863","YJR102C","S. cerevisiae","VPS25","Vacuolar Protein Sorting"
"SGD:S000003864","YJR103W","S. cerevisiae","URA8","URAcil requiring"
"SGD:S000003865","YJR104C","S. cerevisiae","SOD1","SuperOxide Dismutase"
"SGD:S000003866","YJR105W","S. cerevisiae","ADO1","ADenOsine kinase"
"SGD:S000003867","YJR106W","S. cerevisiae","ECM27","ExtraCellular Mutant"
"SGD:S000003868","YJR107W","S. cerevisiae","LIH1","LIpase Homolog"
"SGD:S000003870","YJR109C","S. cerevisiae","CPA2","Carbamyl Phosphate synthetase A"
"SGD:S000003871","YJR110W","S. cerevisiae","YMR1","Yeast Myotubularin Related"
"SGD:S000003873","YJR112W","S. cerevisiae","NNF1","Necessary for Nuclear Function"
"SGD:S000003874","YJR113C","S. cerevisiae","RSM7","Ribosomal Small subunit of Mitochondria"
"SGD:S000003875","YJR114W","S. cerevisiae","",""
"SGD:S000003880","YJR119C","S. cerevisiae","JHD2","JmjC domain-containing Histone Demethylase"
"SGD:S000003881","YJR120W","S. cerevisiae","DMO1","Determines Mitochondrial prOteome"
"SGD:S000003882","YJR121W","S. cerevisiae","ATP2","ATP synthase"
"SGD:S000003883","YJR122W","S. cerevisiae","IBA57","Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins"
"SGD:S000003885","YJR124C","S. cerevisiae","",""
"SGD:S000003886","YJR125C","S. cerevisiae","ENT3","Epsin N-Terminal homology"
"SGD:S000003887","YJR126C","S. cerevisiae","VPS70","Vacuolar Protein Sorting"
"SGD:S000003888","YJR127C","S. cerevisiae","RSF2","ReSpiration Factor"
"SGD:S000003890","YJR129C","S. cerevisiae","EFM3","Elongation Factor Methyltransferase"
"SGD:S000003891","YJR130C","S. cerevisiae","STR2","Sulfur TRansfer"
"SGD:S000003892","YJR131W","S. cerevisiae","MNS1",""
"SGD:S000003893","YJR132W","S. cerevisiae","NMD5","Nonsense-Mediated mRNA Decay"
"SGD:S000003895","YJR134C","S. cerevisiae","SGM1","Slow growth on Galactose and Mannose"
"SGD:S000003896","YJR135C","S. cerevisiae","MCM22","MiniChromosome Maintenance"
"SGD:S000003897","YJR136C","S. cerevisiae","TTI2","Two Tel2-Interacting protein"
"SGD:S000003898","YJR137C","S. cerevisiae","MET5","METhionine requiring"
"SGD:S000003899","YJR138W","S. cerevisiae","IML1","Increased Minichromosome Loss"
"SGD:S000003900","YJR139C","S. cerevisiae","HOM6","HOMoserine requiring"
"SGD:S000003901","YJR140C","S. cerevisiae","HIR3","HIstone Regulation"
"SGD:S000003904","YJR143C","S. cerevisiae","PMT4","Protein O-MannosylTransferase"
"SGD:S000003905","YJR144W","S. cerevisiae","MGM101","Mitochondrial Genome Maintenance"
"SGD:S000003908","YJR147W","S. cerevisiae","HMS2","High-copy Mep Suppressor"
"SGD:S000003909","YJR148W","S. cerevisiae","BAT2","Branched-chain Amino acid Transaminase"
"SGD:S000003910","YJR149W","S. cerevisiae","",""
"SGD:S000003913","YJR152W","S. cerevisiae","DAL5","Degradation of Allantoin"
"SGD:S000003915","YJR154W","S. cerevisiae","",""
"SGD:S000003916","YJR155W","S. cerevisiae","AAD10","Aryl-Alcohol Dehydrogenase"
"SGD:S000003917","YJR156C","S. cerevisiae","THI11","THIamine metabolism"
"SGD:S000003923","YJR162C","S. cerevisiae","",""
"SGD:S000003924","YLL001W","S. cerevisiae","DNM1","DyNaMin-related"
"SGD:S000003925","YLL002W","S. cerevisiae","RTT109","Regulator of Ty1 Transposition"
"SGD:S000003926","YLL003W","S. cerevisiae","SFI1","Suppressor of Fermentation Induced loss of stress resistance"
"SGD:S000003927","YLL004W","S. cerevisiae","ORC3","Origin Recognition Complex"
"SGD:S000003928","YLL005C","S. cerevisiae","SPO75","SPOrulation"
"SGD:S000003930","YLL007C","S. cerevisiae","LMO1","eLMO homolog"
"SGD:S000003931","YLL008W","S. cerevisiae","DRS1","Deficiency of Ribosomal Subunits"
"SGD:S000003933","YLL010C","S. cerevisiae","PSR1","Plasma membrane Sodium Response"
"SGD:S000003934","YLL011W","S. cerevisiae","SOF1","Suppressor Of Fibrillarin"
"SGD:S000003936","YLL013C","S. cerevisiae","PUF3","PUmilio-homology domain Family"
"SGD:S000003941","YLL018C","S. cerevisiae","DPS1",""
"SGD:S000003942","YLL019C","S. cerevisiae","KNS1","Kinase Next to SPA2"
"SGD:S000003944","YLL021W","S. cerevisiae","SPA2","Spindle Pole Antigen"
"SGD:S000003945","YLL022C","S. cerevisiae","HIF1","Hat1 Interacting Factor"
"SGD:S000003946","YLL023C","S. cerevisiae","POM33","POre Membrane, 33 kDa"
"SGD:S000003949","YLL026W","S. cerevisiae","HSP104","Heat Shock Protein"
"SGD:S000003950","YLL027W","S. cerevisiae","ISA1","Iron Sulfur Assembly"
"SGD:S000003951","YLL028W","S. cerevisiae","TPO1","Transporter of POlyamines"
"SGD:S000003952","YLL029W","S. cerevisiae","FRA1","Fe Repressor of Activation"
"SGD:S000003955","YLL032C","S. cerevisiae","",""
"SGD:S000003956","YLL033W","S. cerevisiae","IRC19","Increased Recombination Centers"
"SGD:S000003957","YLL034C","S. cerevisiae","RIX7","RIbosome eXport"
"SGD:S000003958","YLL035W","S. cerevisiae","GRC3",""
"SGD:S000003959","YLL036C","S. cerevisiae","PRP19","Pre-RNA Processing"
"SGD:S000003963","YLL040C","S. cerevisiae","VPS13","Vacuolar Protein Sorting"
"SGD:S000003966","YLL043W","S. cerevisiae","FPS1","FdP1 Suppressor"
"SGD:S000003971","YLL048C","S. cerevisiae","YBT1","Yeast Bile Transporter"
"SGD:S000003973","YLL050C","S. cerevisiae","COF1","COFilin"
"SGD:S000003976","YLL053C","S. cerevisiae","",""
"SGD:S000003978","YLL055W","S. cerevisiae","YCT1","Yeast Cysteine Transporter"
"SGD:S000003979","YLL056C","S. cerevisiae","",""
"SGD:S000003980","YLL057C","S. cerevisiae","JLP1","dnaJ-Like Protein"
"SGD:S000003981","YLL058W","S. cerevisiae","HSU1","Hydrogen Sulfide Utilizing"
"SGD:S000003983","YLL060C","S. cerevisiae","GTT2","GlutaThione Transferase"
"SGD:S000003984","YLL061W","S. cerevisiae","MMP1","S-MethylMethionine Permease"
"SGD:S000003985","YLL062C","S. cerevisiae","MHT1","S-Methylmethionine-Homocysteine methylTransferase"
"SGD:S000003986","YLL063C","S. cerevisiae","AYT1","AcetYlTransferase"
"SGD:S000003991","YLR001C","S. cerevisiae","",""
"SGD:S000003992","YLR002C","S. cerevisiae","NOC3","NucleOlar Complex associated"
"SGD:S000003995","YLR005W","S. cerevisiae","SSL1","Suppressor of Stem-Loop mutation"
"SGD:S000003996","YLR006C","S. cerevisiae","SSK1","Suppressor of Sensor Kinase"
"SGD:S000004001","YLR011W","S. cerevisiae","LOT6","LOw Temperature-responsive"
"SGD:S000004004","YLR014C","S. cerevisiae","PPR1","Pyrimidine Pathway Regulation"
"SGD:S000004005","YLR015W","S. cerevisiae","BRE2","BREfeldin A sensitivity"
"SGD:S000004006","YLR016C","S. cerevisiae","PML1","Pre-mRNA Leakage"
"SGD:S000004007","YLR017W","S. cerevisiae","MEU1","Multicopy Enhancer of UAS2"
"SGD:S000004009","YLR019W","S. cerevisiae","PSR2","Plasma membrane Sodium Response"
"SGD:S000004011","YLR021W","S. cerevisiae","IRC25","Increased Recombination Centers"
"SGD:S000004012","YLR022C","S. cerevisiae","SDO1",""
"SGD:S000004013","YLR023C","S. cerevisiae","IZH3","Implicated in Zinc Homeostasis"
"SGD:S000004014","YLR024C","S. cerevisiae","UBR2",""
"SGD:S000004015","YLR025W","S. cerevisiae","SNF7","Sucrose NonFermenting"
"SGD:S000004016","YLR026C","S. cerevisiae","SED5","Suppressor of Erd2 Deletion"
"SGD:S000004017","YLR027C","S. cerevisiae","AAT2","Aspartate AminoTransferase"
"SGD:S000004018","YLR028C","S. cerevisiae","ADE16","ADEnine"
"SGD:S000004022","YLR032W","S. cerevisiae","RAD5","RADiation sensitive"
"SGD:S000004023","YLR033W","S. cerevisiae","RSC58","Remodel the Structure of Chromatin"
"SGD:S000004024","YLR034C","S. cerevisiae","SMF3",""
"SGD:S000004025","YLR035C","S. cerevisiae","MLH2","MutL Homolog"
"SGD:S000004026","YLR036C","S. cerevisiae","",""
"SGD:S000004029","YLR039C","S. cerevisiae","RIC1","RIbosome Control"
"SGD:S000004033","YLR043C","S. cerevisiae","TRX1","ThioRedoXin"
"SGD:S000004035","YLR045C","S. cerevisiae","STU2","Suppressor of TUbulin"
"SGD:S000004038","YLR048W","S. cerevisiae","RPS0B","Ribosomal Protein of the Small subunit"
"SGD:S000004039","YLR049C","S. cerevisiae","MLO50","Mitochondrially LOcalized protein of 50 kDa"
"SGD:S000004040","YLR050C","S. cerevisiae","EMA19","Efficient Mitochondria targeting-Associated protein"
"SGD:S000004041","YLR051C","S. cerevisiae","FCF2","Faf1p Copurifying Factor"
"SGD:S000004042","YLR052W","S. cerevisiae","IES3","Ino Eighty Subunit"
"SGD:S000004045","YLR055C","S. cerevisiae","SPT8","SuPpressor of Ty"
"SGD:S000004047","YLR057W","S. cerevisiae","MNL2","MaNnosidase-Like protein"
"SGD:S000004048","YLR058C","S. cerevisiae","SHM2","Serine HydroxyMethyltransferase"
"SGD:S000004050","YLR060W","S. cerevisiae","FRS1","phenylalanyl (F)-tRNA Synthetase"
"SGD:S000004054","YLR064W","S. cerevisiae","PER33","Pore and ER protein, 33 kDa"
"SGD:S000004056","YLR066W","S. cerevisiae","SPC3","Signal Peptidase Complex"
"SGD:S000004058","YLR068W","S. cerevisiae","FYV7","Function required for Yeast Viability"
"SGD:S000004059","YLR069C","S. cerevisiae","MEF1","Mitochondrial Elongation Factor"
"SGD:S000004061","YLR071C","S. cerevisiae","RGR1","Resistant to Glucose Repression"
"SGD:S000004062","YLR072W","S. cerevisiae","LAM6","Lipid transfer protein Anchored at Membrane contact site"
"SGD:S000004064","YLR074C","S. cerevisiae","BUD20","BUD site selection"
"SGD:S000004065","YLR075W","S. cerevisiae","RPL10","Ribosomal Protein of the Large subunit"
"SGD:S000004069","YLR079W","S. cerevisiae","SIC1","Substrate/Subunit Inhibitor of Cyclin-dependent protein kinase"
"SGD:S000004072","YLR082C","S. cerevisiae","SRL2","Suppressor of Rad53 null Lethality"
"SGD:S000004073","YLR083C","S. cerevisiae","EMP70",""
"SGD:S000004074","YLR084C","S. cerevisiae","RAX2",""
"SGD:S000004075","YLR085C","S. cerevisiae","ARP6","Actin-Related Protein"
"SGD:S000004076","YLR086W","S. cerevisiae","SMC4","Structural Maintenance of Chromosomes"
"SGD:S000004077","YLR087C","S. cerevisiae","CSF1","Cold Sensitive for Fermentation"
"SGD:S000004079","YLR089C","S. cerevisiae","ALT1","ALanine Transaminase"
"SGD:S000004080","YLR090W","S. cerevisiae","XDJ1",""
"SGD:S000004081","YLR091W","S. cerevisiae","GEP5","GEnetic interactors of Prohibitins"
"SGD:S000004082","YLR092W","S. cerevisiae","SUL2","SULfate"
"SGD:S000004084","YLR094C","S. cerevisiae","GIS3","GIg1-2 Suppressor"
"SGD:S000004085","YLR095C","S. cerevisiae","IOC2","Iswi One Complex"
"SGD:S000004086","YLR096W","S. cerevisiae","KIN2","KINase"
"SGD:S000004087","YLR097C","S. cerevisiae","HRT3","High level expression Reduces Ty3 transposition"
"SGD:S000004090","YLR100W","S. cerevisiae","ERG27","ERGosterol biosynthesis"
"SGD:S000004092","YLR102C","S. cerevisiae","APC9","Anaphase Promoting Complex"
"SGD:S000004096","YLR106C","S. cerevisiae","REA1","Ribosome Export/Assembly"
"SGD:S000004097","YLR107W","S. cerevisiae","REX3","Rna EXonuclease"
"SGD:S000004099","YLR109W","S. cerevisiae","AHP1","Alkyl HydroPeroxide reductase"
"SGD:S000004103","YLR113W","S. cerevisiae","HOG1","High Osmolarity Glycerol response"
"SGD:S000004104","YLR114C","S. cerevisiae","AVL9","Apl2 Vps1 Lethal"
"SGD:S000004105","YLR115W","S. cerevisiae","CFT2","Cleavage Factor Two"
"SGD:S000004106","YLR116W","S. cerevisiae","MSL5","Mud Synthetic-Lethal"
"SGD:S000004107","YLR117C","S. cerevisiae","CLF1","Crooked neck-Like Factor"
"SGD:S000004108","YLR118C","S. cerevisiae","TML25","acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa"
"SGD:S000004109","YLR119W","S. cerevisiae","SRN2","Suppressor of Rna mutations, Number 2"
"SGD:S000004110","YLR120C","S. cerevisiae","YPS1","YaPSin"
"SGD:S000004111","YLR121C","S. cerevisiae","YPS3","YaPSin"
"SGD:S000004115","YLR125W","S. cerevisiae","",""
"SGD:S000004117","YLR127C","S. cerevisiae","APC2","Anaphase Promoting Complex"
"SGD:S000004119","YLR129W","S. cerevisiae","DIP2","DOM34 Interacting Protein"
"SGD:S000004121","YLR131C","S. cerevisiae","ACE2","Activator of CUP1 Expression"
"SGD:S000004122","YLR132C","S. cerevisiae","USB1","U Six Biogenesis"
"SGD:S000004123","YLR133W","S. cerevisiae","CKI1","Choline KInase"
"SGD:S000004124","YLR134W","S. cerevisiae","PDC5","Pyruvate DeCarboxylase"
"SGD:S000004125","YLR135W","S. cerevisiae","SLX4","Synthetic Lethal of unknown (X) function"
"SGD:S000004128","YLR138W","S. cerevisiae","NHA1","Na+/H+ Antiporter"
"SGD:S000004129","YLR139C","S. cerevisiae","SLS1","Synthetic Lethal with SSM4"
"SGD:S000004132","YLR142W","S. cerevisiae","PUT1","Proline UTilization"
"SGD:S000004133","YLR143W","S. cerevisiae","DPH6","DiPHthamide biosynthesis"
"SGD:S000004134","YLR144C","S. cerevisiae","ACF2","Assembly Complementing Factor"
"SGD:S000004135","YLR145W","S. cerevisiae","RMP1","RNase MRP Protein"
"SGD:S000004136","YLR146C","S. cerevisiae","SPE4","SPErmidine auxotroph"
"SGD:S000004137","YLR147C","S. cerevisiae","SMD3",""
"SGD:S000004138","YLR148W","S. cerevisiae","PEP3","carboxyPEPtidase Y-deficient"
"SGD:S000004139","YLR149C","S. cerevisiae","GID11","Glucose Induced Degradation deficient"
"SGD:S000004140","YLR150W","S. cerevisiae","STM1","Suppressor of ToM1"
"SGD:S000004142","YLR152C","S. cerevisiae","",""
"SGD:S000004143","YLR153C","S. cerevisiae","ACS2","Acetyl CoA Synthetase"
"SGD:S000004144","YLR154C","S. cerevisiae","RNH203","RNase H"
"SGD:S000004153","YLR163C","S. cerevisiae","MAS1","Mitochondrial ASsembly"
"SGD:S000004157","YLR167W","S. cerevisiae","RPS31","Ribosomal Protein of the Small subunit"
"SGD:S000004160","YLR170C","S. cerevisiae","APS1","clathrin Associated Protein complex Small subunit"
"SGD:S000004161","YLR171W","S. cerevisiae","",""
"SGD:S000004162","YLR172C","S. cerevisiae","DPH5","DiPHthamide"
"SGD:S000004163","YLR173W","S. cerevisiae","TAG1","Termination of AutophaGy"
"SGD:S000004165","YLR175W","S. cerevisiae","CBF5","Centromere Binding Factor"
"SGD:S000004166","YLR176C","S. cerevisiae","RFX1","Regulatory Factor X"
"SGD:S000004167","YLR177W","S. cerevisiae","",""
"SGD:S000004168","YLR178C","S. cerevisiae","TFS1","cdc Twenty-Five Suppressor"
"SGD:S000004169","YLR179C","S. cerevisiae","",""
"SGD:S000004170","YLR180W","S. cerevisiae","SAM1","S-AdenosylMethionine requiring"
"SGD:S000004171","YLR181C","S. cerevisiae","VTA1","VpsTwenty Associated"
"SGD:S000004172","YLR182W","S. cerevisiae","SWI6","SWItching deficient"
"SGD:S000004175","YLR185W","S. cerevisiae","RPL37A","Ribosomal Protein of the Large subunit"
"SGD:S000004176","YLR186W","S. cerevisiae","EMG1","Essential for Mitotic Growth"
"SGD:S000004177","YLR187W","S. cerevisiae","SKG3","Suppressor of lethality of Kex2 Gas1 double null mutant"
"SGD:S000004179","YLR189C","S. cerevisiae","ATG26","AuTophaGy related"
"SGD:S000004180","YLR190W","S. cerevisiae","MMR1","Mitochondrial Myo2p Receptor-related"
"SGD:S000004182","YLR192C","S. cerevisiae","HCR1","High-Copy suppressor of Rpg1"
"SGD:S000004184","YLR194C","S. cerevisiae","NCW2","Novel Cell Wall protein"
"SGD:S000004186","YLR196W","S. cerevisiae","PWP1","Periodic tryptophan (W) Protein"
"SGD:S000004187","YLR197W","S. cerevisiae","NOP56","NucleOlar Protein of 56.8 kDa"
"SGD:S000004189","YLR199C","S. cerevisiae","PBA1","Proteasome Biogenesis-Associated"
"SGD:S000004190","YLR200W","S. cerevisiae","YKE2","Yeast ortholog of mouse KE2"
"SGD:S000004193","YLR203C","S. cerevisiae","MSS51","Mitochondrial Splicing Suppressor"
"SGD:S000004196","YLR206W","S. cerevisiae","ENT2","Epsin N-Terminal homology"
"SGD:S000004197","YLR207W","S. cerevisiae","HRD3","HMG-coA Reductase Degradation"
"SGD:S000004198","YLR208W","S. cerevisiae","SEC13","SECretory"
"SGD:S000004200","YLR210W","S. cerevisiae","CLB4","CycLin B"
"SGD:S000004201","YLR211C","S. cerevisiae","ATG38","AuTophaGy related"
"SGD:S000004202","YLR212C","S. cerevisiae","TUB4","TUBulin"
"SGD:S000004205","YLR215C","S. cerevisiae","CDC123","Cell Division Cycle"
