"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000002756","YDR348C","S. cerevisiae","PAL1","Pears And Lemons"
"SGD:S000002757","YDR349C","S. cerevisiae","YPS7","YaPSin"
"SGD:S000002758","YDR350C","S. cerevisiae","ATP22","ATPase synthase"
"SGD:S000002759","YDR351W","S. cerevisiae","SBE2","Suppressor of BEm4"
"SGD:S000002761","YDR353W","S. cerevisiae","TRR1","ThioRedoxin Reductase"
"SGD:S000002764","YDR356W","S. cerevisiae","SPC110","Spindle Pole Component"
"SGD:S000002765","YDR357C","S. cerevisiae","CNL1","CNo-Like"
"SGD:S000002767","YDR359C","S. cerevisiae","EAF1","Esa1p-Associated Factor"
"SGD:S000002769","YDR361C","S. cerevisiae","BCP1",""
"SGD:S000002770","YDR362C","S. cerevisiae","TFC6","Transcription Factor C"
"SGD:S000002771","YDR363W","S. cerevisiae","ESC2","Establishment of Silent Chromatin"
"SGD:S000002772","YDR364C","S. cerevisiae","CDC40","Cell Division Cycle"
"SGD:S000002773","YDR365C","S. cerevisiae","ESF1","Eighteen S rRNA Factor"
"SGD:S000002774","YDR366C","S. cerevisiae","MOR1","Mitochondrial mORphology affecting"
"SGD:S000002776","YDR368W","S. cerevisiae","YPR1","Yeast Putative Reductase"
"SGD:S000002777","YDR369C","S. cerevisiae","XRS2","X-Ray Sensitive"
"SGD:S000002778","YDR370C","S. cerevisiae","DXO1","Decapping eXOnuclease"
"SGD:S000002779","YDR371W","S. cerevisiae","CTS2","ChiTinaSe"
"SGD:S000002780","YDR372C","S. cerevisiae","VPS74","Vacuolar Protein Sorting"
"SGD:S000002781","YDR373W","S. cerevisiae","FRQ1","FReQuenin homolog"
"SGD:S000002782","YDR374C","S. cerevisiae","PHO92","PHOsphate metabolism"
"SGD:S000002784","YDR376W","S. cerevisiae","ARH1","Adrenodoxin Reductase Homolog"
"SGD:S000002785","YDR377W","S. cerevisiae","ATP17","ATP synthase"
"SGD:S000002786","YDR378C","S. cerevisiae","LSM6","Like SM"
"SGD:S000002787","YDR379W","S. cerevisiae","RGA2","Rho GTPase Activating Protein"
"SGD:S000002788","YDR380W","S. cerevisiae","ARO10","AROmatic amino acid requiring"
"SGD:S000002789","YDR381W","S. cerevisiae","YRA1","Yeast RNA Annealing protein"
"SGD:S000002790","YDR382W","S. cerevisiae","RPP2B","Ribosomal Protein P2 Beta"
"SGD:S000002791","YDR383C","S. cerevisiae","NKP1","Non-essential Kinetochore Protein"
"SGD:S000002792","YDR384C","S. cerevisiae","ATO3","Ammonia (Ammonium) Transport Outward"
"SGD:S000002793","YDR385W","S. cerevisiae","EFT2","Elongation Factor Two"
"SGD:S000002794","YDR386W","S. cerevisiae","MUS81","MMS and UV Sensitive"
"SGD:S000002795","YDR387C","S. cerevisiae","CIN10","Chromosome INstability"
"SGD:S000002796","YDR388W","S. cerevisiae","RVS167","Reduced Viability on Starvation"
"SGD:S000002797","YDR389W","S. cerevisiae","SAC7","Suppressor of ACtin"
"SGD:S000002798","YDR390C","S. cerevisiae","UBA2","UBiquitin Activating"
"SGD:S000002800","YDR392W","S. cerevisiae","SPT3","SuPpressor of Ty's"
"SGD:S000002802","YDR394W","S. cerevisiae","RPT3","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000002803","YDR395W","S. cerevisiae","SXM1","Suppressor of mRNA eXport Mutant"
"SGD:S000002805","YDR397C","S. cerevisiae","NCB2","Negative Cofactor B"
"SGD:S000002806","YDR398W","S. cerevisiae","UTP5","U Three Protein"
"SGD:S000002807","YDR399W","S. cerevisiae","HPT1","Hypoxanthine guanine PhosphoribosylTransferase"
"SGD:S000002808","YDR400W","S. cerevisiae","URH1","URidine Hydrolase"
"SGD:S000002811","YDR403W","S. cerevisiae","DIT1","DITyrosine"
"SGD:S000002812","YDR404C","S. cerevisiae","RPB7","RNA Polymerase B"
"SGD:S000002813","YDR405W","S. cerevisiae","MRP20","Mitochondrial Ribosomal Protein"
"SGD:S000002814","YDR406W","S. cerevisiae","PDR15","Pleiotropic Drug Resistance"
"SGD:S000002815","YDR407C","S. cerevisiae","TRS120","TRapp Subunit"
"SGD:S000002816","YDR408C","S. cerevisiae","ADE8","ADEnine requiring"
"SGD:S000002817","YDR409W","S. cerevisiae","SIZ1","SAP and mIZ-finger domain"
"SGD:S000002818","YDR410C","S. cerevisiae","STE14","STErile"
"SGD:S000002820","YDR412W","S. cerevisiae","RRP17","Ribosomal RNA Processing"
"SGD:S000002821","YDR413C","S. cerevisiae","",""
"SGD:S000002822","YDR414C","S. cerevisiae","ERD1","Endoplasmic reticulum Retention Defective"
"SGD:S000002823","YDR415C","S. cerevisiae","",""
"SGD:S000002824","YDR416W","S. cerevisiae","SYF1","SYnthetic lethal with cdcForty"
"SGD:S000002826","YDR418W","S. cerevisiae","RPL12B","Ribosomal Protein of the Large subunit"
"SGD:S000002827","YDR419W","S. cerevisiae","RAD30","RADiation sensitive"
"SGD:S000002829","YDR421W","S. cerevisiae","ARO80","AROmatic amino acid requiring"
"SGD:S000002830","YDR422C","S. cerevisiae","SIP1","SNF1-Interacting Protein"
"SGD:S000002831","YDR423C","S. cerevisiae","CAD1","CADmium resistance"
"SGD:S000002832","YDR424C","S. cerevisiae","DYN2","DYNein"
"SGD:S000002833","YDR425W","S. cerevisiae","SNX41","Sorting NeXin"
"SGD:S000002835","YDR427W","S. cerevisiae","RPN9","Regulatory Particle Non-ATPase"
"SGD:S000002836","YDR428C","S. cerevisiae","BNA7","Biosynthesis of NAD"
"SGD:S000002837","YDR429C","S. cerevisiae","TIF35","Translation Initiation Factor"
"SGD:S000002838","YDR430C","S. cerevisiae","CYM1","CYtosolic Metalloprotease"
"SGD:S000002839","YDR431W","S. cerevisiae","",""
"SGD:S000002840","YDR432W","S. cerevisiae","NPL3","Nuclear Protein Localization"
"SGD:S000002841","YDR433W","S. cerevisiae","",""
"SGD:S000002843","YDR435C","S. cerevisiae","PPM1","Protein Phosphatase Methyltransferase"
"SGD:S000002844","YDR436W","S. cerevisiae","PPZ2","Protein Phosphatase Z"
"SGD:S000002846","YDR438W","S. cerevisiae","THI74","THIamine regulon"
"SGD:S000002847","YDR439W","S. cerevisiae","LRS4","Loss of RDNA Silencing"
"SGD:S000002848","YDR440W","S. cerevisiae","DOT1","Disruptor Of Telomeric silencing"
"SGD:S000002849","YDR441C","S. cerevisiae","APT2","Adenine PhosphoribosylTransferase"
"SGD:S000002850","YDR442W","S. cerevisiae","",""
"SGD:S000002851","YDR443C","S. cerevisiae","SSN2","Suppressor of SNf1"
"SGD:S000002852","YDR444W","S. cerevisiae","",""
"SGD:S000002853","YDR445C","S. cerevisiae","",""
"SGD:S000002854","YDR446W","S. cerevisiae","ECM11","ExtraCellular Mutant"
"SGD:S000002856","YDR448W","S. cerevisiae","ADA2","transcriptional ADAptor"
"SGD:S000002857","YDR449C","S. cerevisiae","UTP6","U Three Protein"
"SGD:S000002860","YDR452W","S. cerevisiae","PPN1",""
"SGD:S000002861","YDR453C","S. cerevisiae","TSA2","Thiol-Specific Antioxidant"
"SGD:S000002863","YDR455C","S. cerevisiae","",""
"SGD:S000002864","YDR456W","S. cerevisiae","NHX1","Na+/H+ eXchanger"
"SGD:S000002865","YDR457W","S. cerevisiae","TOM1","Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis"
"SGD:S000002867","YDR459C","S. cerevisiae","PFA5","Protein Fatty Acyltransferase"
"SGD:S000002868","YDR460W","S. cerevisiae","TFB3","Transcription Factor B"
"SGD:S000002869","YDR461W","S. cerevisiae","MFA1","Mating Factor A"
"SGD:S000002870","YDR462W","S. cerevisiae","MRPL28","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000002871","YDR463W","S. cerevisiae","STP1","Species-specific tRNA Processing"
"SGD:S000002872","YDR464W","S. cerevisiae","SPP41","Suppressor of PrP4"
"SGD:S000002873","YDR465C","S. cerevisiae","RMT2","aRginine MeThyltransferase"
"SGD:S000002876","YDR468C","S. cerevisiae","TLG1","T-snare affecting a Late Golgi compartment"
"SGD:S000002877","YDR469W","S. cerevisiae","SDC1","Set1c, homolog of Dpy30 from C.elegans"
"SGD:S000002880","YDR472W","S. cerevisiae","TRS31","TRapp Subunit"
"SGD:S000002881","YDR473C","S. cerevisiae","PRP3","Pre-mRNA Processing"
"SGD:S000002882","YDR474C","S. cerevisiae","",""
"SGD:S000002885","YDR477W","S. cerevisiae","SNF1","Sucrose NonFermenting"
"SGD:S000002886","YDR478W","S. cerevisiae","SNM1","Suppressor of Nuclear Mitochondrial endoribonuclease"
"SGD:S000002887","YDR479C","S. cerevisiae","PEX29","PEroXisome related"
"SGD:S000002888","YDR480W","S. cerevisiae","DIG2","Down-regulator of Invasive Growth"
"SGD:S000002890","YDR482C","S. cerevisiae","CWC21","Complexed With Cef1p"
"SGD:S000002891","YDR483W","S. cerevisiae","KRE2","Killer toxin REsistant"
"SGD:S000002892","YDR484W","S. cerevisiae","VPS52","Vacuolar Protein Sorting"
"SGD:S000002893","YDR485C","S. cerevisiae","VPS72","Vacuolar Protein Sorting"
"SGD:S000002895","YDR487C","S. cerevisiae","RIB3","RIBoflavin biosynthesis"
"SGD:S000002896","YDR488C","S. cerevisiae","PAC11","Perish in the Absence of CIN8"
"SGD:S000002897","YDR489W","S. cerevisiae","SLD5","Synthetic Lethality with Dpb11-1"
"SGD:S000002898","YDR490C","S. cerevisiae","PKH1","Pkb-activating Kinase Homolog"
"SGD:S000002902","YDR494W","S. cerevisiae","RSM28","Ribosomal Small subunit of Mitochondria"
"SGD:S000002904","YDR496C","S. cerevisiae","PUF6","PUmilio-homology domain Family"
"SGD:S000002905","YDR497C","S. cerevisiae","ITR1","myo-Inositol TRansporter"
"SGD:S000002906","YDR498C","S. cerevisiae","SEC20","SECretory"
"SGD:S000002907","YDR499W","S. cerevisiae","LCD1","Lethal, Checkpoint-defective, DNA damage sensitive"
"SGD:S000002908","YDR500C","S. cerevisiae","RPL37B","Ribosomal Protein of the Large subunit"
"SGD:S000002909","YDR501W","S. cerevisiae","PLM2","PLasmid Maintenance"
"SGD:S000002910","YDR502C","S. cerevisiae","SAM2","S-AdenosylMethionine requiring"
"SGD:S000002911","YDR503C","S. cerevisiae","LPP1","Lipid Phosphate Phosphatase"
"SGD:S000002912","YDR504C","S. cerevisiae","SPG3","Stationary Phase Gene"
"SGD:S000002913","YDR505C","S. cerevisiae","PSP1","Polymerase SuPpressor"
"SGD:S000002914","YDR506C","S. cerevisiae","GMC1","Grand Meiotic recombination Cluster"
"SGD:S000002915","YDR507C","S. cerevisiae","GIN4","Growth Inhibitory"
"SGD:S000002916","YDR508C","S. cerevisiae","GNP1","GlutamiNe Permease"
"SGD:S000002917","YDR509W","S. cerevisiae","",""
"SGD:S000002918","YDR510W","S. cerevisiae","SMT3","Suppressor of Mif Two"
"SGD:S000002919","YDR511W","S. cerevisiae","SDH7","Succinate DeHydrogenase"
"SGD:S000002920","YDR512C","S. cerevisiae","EMI1","Early Meiotic Induction"
"SGD:S000002921","YDR513W","S. cerevisiae","GRX2","GlutaRedoXin"
"SGD:S000002922","YDR514C","S. cerevisiae","",""
"SGD:S000002923","YDR515W","S. cerevisiae","SLF1","SuLFide production"
"SGD:S000002924","YDR516C","S. cerevisiae","EMI2","Early Meiotic Induction"
"SGD:S000002925","YDR517W","S. cerevisiae","GRH1","GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog"
"SGD:S000002928","YDR520C","S. cerevisiae","URC2","URacil Catabolism"
"SGD:S000002931","YDR523C","S. cerevisiae","SPS1","SPorulation Specific"
"SGD:S000002932","YDR524C","S. cerevisiae","AGE1","Arf Gap with Effector function(s)"
"SGD:S000002934","YDR526C","S. cerevisiae","",""
"SGD:S000002935","YDR527W","S. cerevisiae","RBA50","RNA polymerase II (B) Associated protein"
"SGD:S000002936","YDR528W","S. cerevisiae","HLR1","Homolog of LRe1"
"SGD:S000002937","YDR529C","S. cerevisiae","QCR7","ubiQuinol-cytochrome C oxidoReductase"
"SGD:S000002938","YDR530C","S. cerevisiae","APA2","AP4A phosphorylase"
"SGD:S000002939","YDR531W","S. cerevisiae","CAB1","Coenzyme A Biosynthesis"
"SGD:S000002940","YDR532C","S. cerevisiae","KRE28",""
"SGD:S000002941","YDR533C","S. cerevisiae","HSP31","Heat-Shock Protein"
"SGD:S000002942","YDR534C","S. cerevisiae","FIT1","Facilitator of Iron Transport"
"SGD:S000002944","YDR536W","S. cerevisiae","STL1","Sugar Transporter-Like protein"
"SGD:S000002946","YDR538W","S. cerevisiae","PAD1","Phenylacrylic Acid Decarboxylase"
"SGD:S000002949","YDR541C","S. cerevisiae","",""
"SGD:S000002950","YDR542W","S. cerevisiae","PAU10","seriPAUperin"
"SGD:S000002956","YEL075W-A","S. cerevisiae","",""
"SGD:S000002957","YER007C-A","S. cerevisiae","TMA20","Translation Machinery Associated"
"SGD:S000002958","YER060W-A","S. cerevisiae","FCY22","FluoroCYtosine resistance"
"SGD:S000002959","YER066C-A","S. cerevisiae","",""
"SGD:S000002962","YFL002W-A","S. cerevisiae","",""
"SGD:S000002965","YFL017W-A","S. cerevisiae","SMX2",""
"SGD:S000002968","YFR024C-A","S. cerevisiae","LSB3","Las Seventeen Binding protein"
"SGD:S000002969","YGL001C","S. cerevisiae","ERG26","ERGosterol biosynthesis"
"SGD:S000002971","YGL003C","S. cerevisiae","CDH1","CDC20 Homolog"
"SGD:S000002972","YGL004C","S. cerevisiae","RPN14","Regulatory Particle Non-ATPase"
"SGD:S000002973","YGL005C","S. cerevisiae","COG7","Conserved Oligomeric Golgi complex"
"SGD:S000002974","YGL006W","S. cerevisiae","PMC1","Plasma Membrane Calcium"
"SGD:S000002976","YGL008C","S. cerevisiae","PMA1","Plasma Membrane ATPase"
"SGD:S000002977","YGL009C","S. cerevisiae","LEU1","LEUcine biosynthesis"
"SGD:S000002978","YGL010W","S. cerevisiae","MPO1","Metabolism of PHS to Odd-numbered fatty acids"
"SGD:S000002979","YGL011C","S. cerevisiae","SCL1","Suppressor of Crl3 ts Lethality"
"SGD:S000002980","YGL012W","S. cerevisiae","ERG4","ERGosterol biosynthesis"
"SGD:S000002981","YGL013C","S. cerevisiae","PDR1","Pleiotropic Drug Resistance"
"SGD:S000002982","YGL014W","S. cerevisiae","PUF4","PUmilio-homology domain Family"
"SGD:S000002983","YGL015C","S. cerevisiae","BIL2","Bud6-Interacting Ligand"
"SGD:S000002984","YGL016W","S. cerevisiae","KAP122","KAryoPherin"
"SGD:S000002985","YGL017W","S. cerevisiae","ATE1","Arginyl-tRNA-protein transfErase"
"SGD:S000002986","YGL018C","S. cerevisiae","JAC1","J-type Accessory Chaperone"
"SGD:S000002987","YGL019W","S. cerevisiae","CKB1","Casein Kinase Beta subunit"
"SGD:S000002988","YGL020C","S. cerevisiae","GET1","Guided Entry of Tail-anchored proteins"
"SGD:S000002989","YGL021W","S. cerevisiae","ALK1",""
"SGD:S000002990","YGL022W","S. cerevisiae","STT3","STaurosporine and Temperature sensitive"
"SGD:S000002991","YGL023C","S. cerevisiae","PIB2","PtdIns(3)p-Binding"
"SGD:S000002992","YGL024W","S. cerevisiae","",""
"SGD:S000002993","YGL025C","S. cerevisiae","PGD1","PolyGlutamine Domain"
"SGD:S000002994","YGL026C","S. cerevisiae","TRP5","TRyPtophan"
"SGD:S000002995","YGL027C","S. cerevisiae","CWH41","Calcofluor White Hypersensitive"
"SGD:S000002996","YGL028C","S. cerevisiae","SCW11","Soluble Cell Wall protein"
"SGD:S000002997","YGL029W","S. cerevisiae","CGR1","Coiled-coil Growth-Regulated"
"SGD:S000002998","YGL030W","S. cerevisiae","RPL30","Ribosomal Protein of the Large subunit"
"SGD:S000003000","YGL032C","S. cerevisiae","AGA2","a-AGglutinin"
"SGD:S000003003","YGL035C","S. cerevisiae","MIG1","Multicopy Inhibitor of GAL gene expression"
"SGD:S000003004","YGL036W","S. cerevisiae","VIR1","budding yeast ortholog of VIRMA/Virilizer/VIR"
"SGD:S000003005","YGL037C","S. cerevisiae","PNC1","Pyrazinamidase and NiCotinamidase"
"SGD:S000003006","YGL038C","S. cerevisiae","OCH1","Outer CHain elongation"
"SGD:S000003007","YGL039W","S. cerevisiae","",""
"SGD:S000003008","YGL040C","S. cerevisiae","HEM2","HEMe biosynthesis"
"SGD:S000003010","YGL042C","S. cerevisiae","",""
"SGD:S000003011","YGL043W","S. cerevisiae","DST1","DNA Strand Transfer"
"SGD:S000003012","YGL044C","S. cerevisiae","RNA15","poly(A) mRNA metabolism"
"SGD:S000003014","YGL046W","S. cerevisiae","",""
"SGD:S000003015","YGL047W","S. cerevisiae","ALG13","Asparagine-Linked Glycosylation"
"SGD:S000003016","YGL048C","S. cerevisiae","RPT6","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000003017","YGL049C","S. cerevisiae","TIF4632","Translation Initiation Factor"
"SGD:S000003018","YGL050W","S. cerevisiae","TYW3","Trna-YW synthesizing protein"
"SGD:S000003019","YGL051W","S. cerevisiae","MST27","Multicopy suppressor of Sec Twenty-one"
"SGD:S000003020","YGL052W","S. cerevisiae","",""
"SGD:S000003021","YGL053W","S. cerevisiae","PRM8","Pheromone-Regulated Membrane protein"
"SGD:S000003022","YGL054C","S. cerevisiae","ERV14","ER Vesicle"
"SGD:S000003023","YGL055W","S. cerevisiae","OLE1","OLEic acid requiring"
"SGD:S000003025","YGL057C","S. cerevisiae","GEP7","GEnetic interactors of Prohibitins"
"SGD:S000003026","YGL058W","S. cerevisiae","RAD6","RADiation sensitive"
"SGD:S000003028","YGL060W","S. cerevisiae","YBP2","Yap1-Binding Protein"
"SGD:S000003029","YGL061C","S. cerevisiae","DUO1","Death Upon Overproduction"
"SGD:S000003030","YGL062W","S. cerevisiae","PYC1","PYruvate Carboxylase"
"SGD:S000003031","YGL063W","S. cerevisiae","PUS2","PseudoUridine Synthase"
"SGD:S000003032","YGL064C","S. cerevisiae","MRH4","Mitochondrial RNA Helicase"
"SGD:S000003033","YGL065C","S. cerevisiae","ALG2","Asparagine-Linked Glycosylation"
"SGD:S000003034","YGL066W","S. cerevisiae","SGF73","SaGa associated Factor, 73 kDa"
"SGD:S000003036","YGL068W","S. cerevisiae","MNP1","Mitochondrial-Nucleoid Protein"
"SGD:S000003037","YGL069C","S. cerevisiae","",""
"SGD:S000003038","YGL070C","S. cerevisiae","RPB9","RNA Polymerase B"
"SGD:S000003039","YGL071W","S. cerevisiae","AFT1","Activator of Ferrous Transport"
"SGD:S000003041","YGL073W","S. cerevisiae","HSF1","Heat Shock transcription Factor"
"SGD:S000003042","YGL074C","S. cerevisiae","",""
"SGD:S000003043","YGL075C","S. cerevisiae","MPS2","MonoPolar Spindle"
"SGD:S000003045","YGL077C","S. cerevisiae","HNM1","Hyper-resistance to Nitrogen Mustard"
"SGD:S000003046","YGL078C","S. cerevisiae","DBP3","Dead Box Protein"
"SGD:S000003047","YGL079W","S. cerevisiae","KXD1","KxDL homolog"
"SGD:S000003049","YGL081W","S. cerevisiae","",""
"SGD:S000003051","YGL083W","S. cerevisiae","SCY1",""
"SGD:S000003052","YGL084C","S. cerevisiae","GUP1","Glycerol UPtake"
"SGD:S000003054","YGL086W","S. cerevisiae","MAD1","Mitotic Arrest-Deficient"
"SGD:S000003055","YGL087C","S. cerevisiae","MMS2","Methyl MethaneSulfonate sensitivity"
"SGD:S000003058","YGL090W","S. cerevisiae","LIF1","Ligase Interacting Factor"
"SGD:S000003059","YGL091C","S. cerevisiae","NBP35","Nucleotide Binding Protein"
"SGD:S000003060","YGL092W","S. cerevisiae","NUP145","NUclear Pore"
"SGD:S000003061","YGL093W","S. cerevisiae","SPC105","Spindle Pole Component"
"SGD:S000003062","YGL094C","S. cerevisiae","PAN2","Poly(A)-binding protein-dependent poly(A) riboNuclease"
"SGD:S000003063","YGL095C","S. cerevisiae","VPS45","Vacuolar Protein Sorting"
"SGD:S000003064","YGL096W","S. cerevisiae","TOS8","Target Of Sbf"
"SGD:S000003065","YGL097W","S. cerevisiae","SRM1","Suppressor of Receptor Mutations"
"SGD:S000003066","YGL098W","S. cerevisiae","USE1","Unconventional SNARE in the ER"
"SGD:S000003067","YGL099W","S. cerevisiae","LSG1","Large-Subunit Gtpase"
"SGD:S000003068","YGL100W","S. cerevisiae","SEH1","SEc13 Homolog"
"SGD:S000003070","YGL102C","S. cerevisiae","",""
"SGD:S000003072","YGL104C","S. cerevisiae","VPS73","Vacuolar Protein Sorting"
"SGD:S000003073","YGL105W","S. cerevisiae","ARC1","Aminoacyl-tRNA synthetase Cofactor"
"SGD:S000003074","YGL106W","S. cerevisiae","MLC1","Myosin Light Chain"
"SGD:S000003078","YGL110C","S. cerevisiae","CUE3","Coupling of Ubiquitin conjugation to ER degradation"
"SGD:S000003079","YGL111W","S. cerevisiae","NSA1","Nop Seven Associated"
"SGD:S000003080","YGL112C","S. cerevisiae","TAF6","TATA binding protein-Associated Factor"
"SGD:S000003081","YGL113W","S. cerevisiae","SLD3","Synthetically Lethal with Dpb11-1"
"SGD:S000003082","YGL114W","S. cerevisiae","",""
"SGD:S000003083","YGL115W","S. cerevisiae","SNF4","Sucrose NonFermenting"
"SGD:S000003084","YGL116W","S. cerevisiae","CDC20","Cell Division Cycle"
"SGD:S000003085","YGL117W","S. cerevisiae","ARO5","AROmatic amino acid requiring"
"SGD:S000003087","YGL119W","S. cerevisiae","COQ8","COenzyme Q"
"SGD:S000003088","YGL120C","S. cerevisiae","PRP43","Pre-mRNA Processing"
"SGD:S000003089","YGL121C","S. cerevisiae","GPG1","G Protein Gamma"
"SGD:S000003090","YGL122C","S. cerevisiae","NAB2","Nuclear polyAdenylated RNA-Binding"
"SGD:S000003092","YGL124C","S. cerevisiae","MON1","MONensin sensitivity"
"SGD:S000003093","YGL125W","S. cerevisiae","MET13","METhionine requiring"
"SGD:S000003094","YGL126W","S. cerevisiae","SCS3","Suppressor of Choline Sensitivity"
"SGD:S000003095","YGL127C","S. cerevisiae","SOH1","Suppressor Of Hpr1"
"SGD:S000003096","YGL128C","S. cerevisiae","CWC23","Complexed With Cef1p"
"SGD:S000003097","YGL129C","S. cerevisiae","RSM23","Ribosomal Small subunit of Mitochondria"
"SGD:S000003098","YGL130W","S. cerevisiae","CEG1","Capping Enzyme Guanylyltransferase"
"SGD:S000003099","YGL131C","S. cerevisiae","SNT2",""
"SGD:S000003100","YGL132W","S. cerevisiae","",""
"SGD:S000003101","YGL133W","S. cerevisiae","ITC1","Imitation switch Two Complex"
"SGD:S000003102","YGL134W","S. cerevisiae","PCL10","Pho85 CycLin"
"SGD:S000003103","YGL135W","S. cerevisiae","RPL1B","Ribosomal Protein of the Large subunit"
"SGD:S000003105","YGL137W","S. cerevisiae","SEC27","SECretory"
"SGD:S000003106","YGL138C","S. cerevisiae","",""
"SGD:S000003107","YGL139W","S. cerevisiae","FLC3","FLavin Carrier"
"SGD:S000003109","YGL141W","S. cerevisiae","HUL5","Hect Ubiquitin Ligase"
"SGD:S000003110","YGL142C","S. cerevisiae","GPI10","GlycosylPhosphatidylInositol anchor biosynthesis"
"SGD:S000003111","YGL143C","S. cerevisiae","MRF1","Mitochondrial peptide chain Release Factor"
"SGD:S000003113","YGL145W","S. cerevisiae","TIP20","SEC20 (Twenty) Interacting Protein"
"SGD:S000003114","YGL146C","S. cerevisiae","RRT6","Regulator of rDNA Transcription"
"SGD:S000003115","YGL147C","S. cerevisiae","RPL9A","Ribosomal Protein of the Large subunit"
"SGD:S000003116","YGL148W","S. cerevisiae","ARO2","AROmatic amino acid requiring"
"SGD:S000003117","YGL149W","S. cerevisiae","",""
"SGD:S000003118","YGL150C","S. cerevisiae","INO80","INOsitol requiring"
"SGD:S000003119","YGL151W","S. cerevisiae","NUT1","Negative regulation of URS Two"
"SGD:S000003121","YGL153W","S. cerevisiae","PEX14","PEroXisome related"
"SGD:S000003122","YGL154C","S. cerevisiae","LYS5","LYSine requiring"
"SGD:S000003123","YGL155W","S. cerevisiae","CDC43","Cell Division Cycle"
"SGD:S000003124","YGL156W","S. cerevisiae","AMS1","Alpha-MannoSidase"
"SGD:S000003125","YGL157W","S. cerevisiae","ARI1","Aldehyde Reductase Intermediate, subclass of SDR"
"SGD:S000003126","YGL158W","S. cerevisiae","RCK1","Radiation sensitivity Complementing Kinase"
"SGD:S000003129","YGL161C","S. cerevisiae","YIP5","Ypt-Interacting Protein"
"SGD:S000003130","YGL162W","S. cerevisiae","SUT1","Sterol UpTake"
"SGD:S000003131","YGL163C","S. cerevisiae","RAD54","RADiation sensitive"
"SGD:S000003133","YGL165C","S. cerevisiae","",""
"SGD:S000003134","YGL166W","S. cerevisiae","CUP2",""
"SGD:S000003135","YGL167C","S. cerevisiae","PMR1","Plasma Membrane ATPase Related"
"SGD:S000003136","YGL168W","S. cerevisiae","HUR1","HydroxyUrea Resistance"
"SGD:S000003137","YGL169W","S. cerevisiae","SUA5","Suppressor of Upstream AUG"
"SGD:S000003138","YGL170C","S. cerevisiae","SPO74","SPOrulation"
"SGD:S000003139","YGL171W","S. cerevisiae","ROK1","Rescuer Of Kem1"
"SGD:S000003140","YGL172W","S. cerevisiae","NUP49","NUclear Pore"
"SGD:S000003141","YGL173C","S. cerevisiae","XRN1","eXoRiboNuclease"
"SGD:S000003142","YGL174W","S. cerevisiae","BUD13","BUD site selection"
"SGD:S000003143","YGL175C","S. cerevisiae","SAE2","Sporulation in the Absence of spo Eleven"
"SGD:S000003146","YGL178W","S. cerevisiae","MPT5","Multicopy suppressor of Pop Two"
"SGD:S000003147","YGL179C","S. cerevisiae","TOS3","Target Of Sbf"
"SGD:S000003148","YGL180W","S. cerevisiae","ATG1","AuTophaGy related"
"SGD:S000003149","YGL181W","S. cerevisiae","GTS1","Glycine Threonine Serine repeat protein"
"SGD:S000003151","YGL183C","S. cerevisiae","MND1","Meiotic Nuclear Divisions"
"SGD:S000003152","YGL184C","S. cerevisiae","STR3","Sulfur TRansfer"
"SGD:S000003153","YGL185C","S. cerevisiae","",""
"SGD:S000003155","YGL187C","S. cerevisiae","COX4","Cytochrome c OXidase"
"SGD:S000003157","YGL189C","S. cerevisiae","RPS26A","Ribosomal Protein of the Small subunit"
"SGD:S000003158","YGL190C","S. cerevisiae","CDC55","Cell Division Cycle"
"SGD:S000003160","YGL192W","S. cerevisiae","IME4","Inducer of MEiosis"
"SGD:S000003162","YGL194C","S. cerevisiae","HOS2","Hda One Similar"
"SGD:S000003163","YGL195W","S. cerevisiae","GCN1","General Control Nonderepressible"
"SGD:S000003165","YGL197W","S. cerevisiae","MDS3","Mck1 Dosage Suppressor"
"SGD:S000003166","YGL198W","S. cerevisiae","YIP4","Ypt-Interacting Protein"
"SGD:S000003168","YGL200C","S. cerevisiae","EMP24","EndoMembrane Protein"
"SGD:S000003169","YGL201C","S. cerevisiae","MCM6","MiniChromosome Maintenance"
"SGD:S000003170","YGL202W","S. cerevisiae","ARO8","AROmatic amino acid requiring"
"SGD:S000003172","YGL204C","S. cerevisiae","",""
"SGD:S000003173","YGL205W","S. cerevisiae","POX1",""
"SGD:S000003174","YGL206C","S. cerevisiae","CHC1","Clathrin Heavy Chain"
"SGD:S000003175","YGL207W","S. cerevisiae","SPT16","SuPpressor of Ty"
"SGD:S000003176","YGL208W","S. cerevisiae","SIP2","SNF1-Interacting Protein"
"SGD:S000003178","YGL210W","S. cerevisiae","YPT32","Yeast Protein Two"
"SGD:S000003180","YGL212W","S. cerevisiae","VAM7","VAcuolar Morphogenesis"
"SGD:S000003181","YGL213C","S. cerevisiae","SKI8","SuperKIller"
"SGD:S000003182","YGL214W","S. cerevisiae","",""
